Nom de l'instance,Formulation utilisée,Valeur objective de la solution entière,Temps de résolution du programme linéaire en nombres entiers (en secondes),Valeur objective de la relaxation continue (si applicable),"Temps de résolution de la relaxation continue (en secondes, si applicable)",Integrality gap (pour MTZ et DFJ_enum),Nombre de variables,Nombre de contraintes (pour DFJ itérative: nombre final)
instance_10_circle_1.txt,MTZ,298.570000,0.112250,248.578000,0.005287,0.167438,99,92
instance_10_circle_1.txt,DFJ_enum,298.570000,0.064595,298.570000,0.035127,0.000000,90,1032
instance_10_circle_1.txt,DFJ_iter,298.570000,0.021197,,,,90,28
instance_10_euclidean_1.txt,MTZ,207.850000,0.073445,200.210000,0.005003,0.036757,99,92
instance_10_euclidean_1.txt,DFJ_enum,207.850000,0.063537,207.850000,0.031974,0.000000,90,1032
instance_10_euclidean_1.txt,DFJ_iter,207.850000,0.012112,,,,90,25
instance_10_euclidean_2.txt,MTZ,323.920000,0.114263,312.938000,0.004739,0.033903,99,92
instance_10_euclidean_2.txt,DFJ_enum,323.920000,0.064727,323.920000,0.031902,0.000000,90,1032
instance_10_euclidean_2.txt,DFJ_iter,323.920000,0.018828,,,,90,28
instance_10_line_1.txt,MTZ,156.140000,0.792130,81.492000,0.005184,0.478084,99,92
instance_10_line_1.txt,DFJ_enum,156.140000,0.068063,156.140000,0.034112,-0.000000,90,1032
instance_10_line_1.txt,DFJ_iter,156.140000,0.032185,,,,90,33
instance_10_random_asym_1.txt,MTZ,191.530000,0.021252,191.530000,0.005011,0.000000,99,92
instance_10_random_asym_1.txt,DFJ_enum,191.530000,0.065316,191.530000,0.032236,0.000000,90,1032
instance_10_random_asym_1.txt,DFJ_iter,191.530000,0.006997,,,,90,20
instance_10_random_sym_1.txt,MTZ,280.990000,0.199429,262.289000,0.004825,0.066554,99,92
instance_10_random_sym_1.txt,DFJ_enum,280.990000,0.065381,280.990000,0.032780,0.000000,90,1032
instance_10_random_sym_1.txt,DFJ_iter,280.990000,0.018222,,,,90,28
instance_12_circle_1.txt,MTZ,265.220000,0.982262,176.081667,0.006127,0.336092,143,134
instance_12_circle_1.txt,DFJ_enum,265.220000,0.373944,265.220000,0.190615,0.000000,132,4106
instance_12_circle_1.txt,DFJ_iter,265.220000,0.038285,,,,132,39
instance_12_line_1.txt,MTZ,174.800000,2.932507,111.260000,0.005435,0.363501,143,134
instance_12_line_1.txt,DFJ_enum,174.800000,0.364797,174.800000,0.177450,0.000000,132,4106
instance_12_line_1.txt,DFJ_iter,174.800000,0.097356,,,,132,43
instance_14_circle_1.txt,MTZ,304.480000,1.149863,221.938571,0.006470,0.271090,195,184
instance_14_circle_1.txt,DFJ_enum,304.480000,2.001004,304.480000,1.014471,0.000000,182,16396
instance_14_circle_1.txt,DFJ_iter,304.480000,0.017037,,,,182,34
instance_14_line_1.txt,MTZ,188.020000,18.304764,71.585714,0.006561,0.619265,195,184
instance_14_line_1.txt,DFJ_enum,188.020000,3.918274,188.020000,0.950928,-0.000000,182,16396
instance_14_line_1.txt,DFJ_iter,188.020000,0.088336,,,,182,53
instance_15_euclidean_1.txt,MTZ,306.700000,6.458298,228.735333,0.006921,0.254205,224,212
instance_15_euclidean_1.txt,DFJ_enum,306.700000,4.488747,306.700000,2.283562,0.000000,210,32781
instance_15_euclidean_1.txt,DFJ_iter,306.700000,0.054111,,,,210,50
instance_15_euclidean_2.txt,MTZ,345.910000,5.834063,243.455333,0.006929,0.296189,224,212
instance_15_euclidean_2.txt,DFJ_enum,345.910000,4.538525,345.910000,2.343842,0.000000,210,32781
instance_15_euclidean_2.txt,DFJ_iter,345.910000,0.035697,,,,210,45
instance_15_random_asym_1.txt,MTZ,342.940000,0.074427,342.643333,0.007015,0.000865,224,212
instance_15_random_asym_1.txt,DFJ_enum,342.940000,4.473409,342.940000,2.268256,0.000000,210,32781
instance_15_random_asym_1.txt,DFJ_iter,342.940000,0.018405,,,,210,32
instance_15_random_sym_1.txt,MTZ,377.500000,0.309503,332.278666,0.007000,0.119792,224,212
instance_15_random_sym_1.txt,DFJ_enum,377.500000,4.606624,377.500000,2.310000,0.000000,210,32781
instance_15_random_sym_1.txt,DFJ_iter,377.500000,0.017803,,,,210,37
instance_20_euclidean_1.txt,MTZ,370.130000,0.347993,315.752000,0.010013,0.146916,399,382
instance_20_euclidean_1.txt,DFJ_iter,370.130000,0.026963,,,,380,50
instance_20_euclidean_2.txt,MTZ,396.750000,6.523225,336.959000,0.009703,0.150702,399,382
instance_20_euclidean_2.txt,DFJ_iter,396.750000,0.066113,,,,380,56
instance_20_random_asym_1.txt,MTZ,324.080000,0.470140,319.437500,0.010069,0.014325,399,382
instance_20_random_asym_1.txt,DFJ_iter,324.080000,0.027262,,,,380,43
instance_20_random_sym_1.txt,MTZ,371.100000,1.890461,356.432000,0.010522,0.039526,399,382
instance_20_random_sym_1.txt,DFJ_iter,371.100000,0.166875,,,,380,59
instance_25_euclidean_1.txt,MTZ,410.260000,3.262585,346.977200,0.013330,0.154250,624,602
instance_25_euclidean_1.txt,DFJ_iter,410.260000,0.248609,,,,600,72
instance_25_euclidean_2.txt,MTZ,418.560000,17.937086,364.410400,0.013572,0.129371,624,602
instance_25_euclidean_2.txt,DFJ_iter,418.560000,0.142209,,,,600,74
