Instance,n,MTZ_Time,MTZ_Objective,MTZ_Variables,MTZ_Constraints,MTZ_Status,MTZ_Relax_Time,MTZ_Relax_Objective,MTZ_Relax_Variables,MTZ_Relax_Constraints,MTZ_Relax_Status,DFJ_Iter_Time,DFJ_Iter_Objective,DFJ_Iter_Variables,DFJ_Iter_Constraints,DFJ_Iter_Iterations,DFJ_Iter_Status,DFJ_Enum_Relax_Time,DFJ_Enum_Relax_Objective,DFJ_Enum_Relax_Variables,DFJ_Enum_Relax_Constraints,DFJ_Enum_Relax_Status,DFJ_Enum_Time,DFJ_Enum_Objective,DFJ_Enum_Variables,DFJ_Enum_Constraints,DFJ_Enum_Status
instance_10_circle_1.txt,10,0.385679,298.570000,99,92,Optimal,0.016720,248.578000,99,92,Optimal,0.121973,298.570000,90,28,3,Optimal,0.155504,298.570000,90,1032,Optimal,0.315245,298.570000,90,1032,Optimal
instance_10_euclidean_1.txt,10,0.395890,207.850000,99,92,Optimal,0.009575,200.210000,99,92,Optimal,0.026726,207.850000,90,25,2,Optimal,0.096014,207.850000,90,1032,Optimal,0.185144,207.850000,90,1032,Optimal
instance_10_euclidean_2.txt,10,0.292097,323.920000,99,92,Optimal,0.009717,312.938000,99,92,Optimal,0.038254,323.920000,90,28,3,Optimal,0.075863,323.920000,90,1032,Optimal,0.166914,323.920000,90,1032,Optimal
instance_10_line_1.txt,10,2.159271,156.140000,99,92,Optimal,0.009925,81.492000,99,92,Optimal,0.071533,156.140000,90,33,5,Optimal,0.097512,156.140000,90,1032,Optimal,0.163525,156.140000,90,1032,Optimal
instance_10_random_asym_1.txt,10,0.049631,191.530000,99,92,Optimal,0.010707,191.530000,99,92,Optimal,0.013735,191.530000,90,20,1,Optimal,0.083707,191.530000,90,1032,Optimal,0.215873,191.530000,90,1032,Optimal
instance_10_random_sym_1.txt,10,0.727509,280.990000,99,92,Optimal,0.013088,262.289000,99,92,Optimal,0.050473,280.990000,90,28,3,Optimal,0.118215,280.990000,90,1032,Optimal,0.261779,280.990000,90,1032,Optimal
instance_12_circle_1.txt,12,2.854047,265.220000,143,134,Optimal,0.011343,176.081667,143,134,Optimal,0.080614,265.220000,132,39,5,Optimal,0.468083,265.220000,132,4106,Optimal,0.905074,265.220000,132,4106,Optimal
instance_12_line_1.txt,12,8.047475,174.800000,143,134,Optimal,0.015244,111.260000,143,134,Optimal,0.282283,174.800000,132,43,7,Optimal,0.573796,174.800000,132,4106,Optimal,0.998515,174.800000,132,4106,Optimal
instance_14_circle_1.txt,14,3.066910,304.480000,195,184,Optimal,0.014410,221.938571,195,184,Optimal,0.034914,304.480000,182,34,2,Optimal,2.509232,304.480000,182,16396,Optimal,5.698115,304.480000,182,16396,Optimal
instance_14_line_1.txt,14,52.272653,188.020000,195,184,Optimal,0.015180,71.585714,195,184,Optimal,0.275106,188.020000,182,53,8,Optimal,2.532741,188.020000,182,16396,Optimal,13.412800,188.020000,182,16396,Optimal
instance_15_euclidean_1.txt,15,18.093020,306.700000,224,212,Optimal,0.016909,228.735333,224,212,Optimal,0.159791,306.700000,210,50,6,Optimal,6.391638,306.700000,210,32781,Optimal,13.869531,306.700000,210,32781,Optimal
instance_15_euclidean_2.txt,15,16.660729,345.910000,224,212,Optimal,0.014965,243.455333,224,212,Optimal,0.081372,345.910000,210,45,4,Optimal,5.822880,345.910000,210,32781,Optimal,13.842300,345.910000,210,32781,Optimal
instance_15_random_asym_1.txt,15,0.170204,342.940000,224,212,Optimal,0.014642,342.643333,224,212,Optimal,0.038566,342.940000,210,32,2,Optimal,5.442742,342.940000,210,32781,Optimal,5.824589,342.940000,210,32781,Optimal
instance_15_random_sym_1.txt,15,0.290978,377.500000,224,212,Optimal,0.005836,332.278666,224,212,Optimal,0.014374,377.500000,210,37,2,Optimal,2.177324,377.500000,210,32781,Optimal,10.189561,377.500000,210,32781,Optimal
instance_20_euclidean_1.txt,20,0.951950,370.130000,399,382,Optimal,0.022200,315.752000,399,382,Optimal,0.059629,370.130000,380,50,2,Optimal,,,0,0,SKIPPED,,,0,0,SKIPPED
instance_20_euclidean_2.txt,20,9.438514,396.750000,399,382,Optimal,0.008152,336.959000,399,382,Optimal,0.054803,396.750000,380,56,3,Optimal,,,0,0,SKIPPED,,,0,0,SKIPPED
instance_20_random_asym_1.txt,20,0.434099,324.080000,399,382,Optimal,0.008077,319.437500,399,382,Optimal,0.023116,324.080000,380,43,2,Optimal,,,0,0,SKIPPED,,,0,0,SKIPPED
instance_20_random_sym_1.txt,20,1.809706,371.100000,399,382,Optimal,0.007821,356.432000,399,382,Optimal,0.138467,371.100000,380,59,6,Optimal,,,0,0,SKIPPED,,,0,0,SKIPPED
instance_25_euclidean_1.txt,25,3.260971,410.260000,624,602,Optimal,0.012445,346.977200,624,602,Optimal,0.216113,410.260000,600,72,5,Optimal,,,0,0,SKIPPED,,,0,0,SKIPPED
instance_25_euclidean_2.txt,25,18.355760,418.560000,624,602,Optimal,0.010620,364.410400,624,602,Optimal,0.126131,418.560000,600,74,5,Optimal,,,0,0,SKIPPED,,,0,0,SKIPPED
